ProductID,ProductName,Category,Price,Rating,NumReviews,StockQuantity,Discount,Sales,DateAdded,City,Stock In Vast or Limited Quantity,,,,ROUND,SQRT,MINIMUM,MAXIMUM,SUM,MEDIAN,RANK,LEFT,RIGHT,LENGTH,MID
19,Headphones,Electronics,151.98,1.6,2625,681,0.4,1976,1/30/2024,Charlotte,FALSE,,,,152,51.23475383,,,,,530,Head,ones,9,arlott
20,Smartwatch,Electronics,403.8,1.7,1981,330,0.16,1371,10/25/2023,Akron,FALSE,,,,404,44.50842617,,,,,390,Smar,atch,5,ron
21,Laptop,Electronics,63.93,1.9,4029,632,0.41,1768,9/27/2023,San Francisco,FALSE,,,,64,63.47440429,,,,,801,Lapt,ptop,13,n Fran
22,Headphones,Electronics,90.68,3.1,4413,676,0.35,1257,12/23/2023,Austin,FALSE,,,,91,66.43041472,,,,,877,Head,ones,6,stin
23,Smartwatch,Electronics,472.03,2.3,1495,232,0.2,1853,4/21/2024,Cincinnati,TRUE,,,,472,38.66522986,,,,,313,Smar,atch,10,ncinna
24,Smartwatch,Electronics,133.37,3,1636,624,0.5,698,2/20/2024,Spokane,TRUE,,,,133,40.44749683,,,,,337,Smar,atch,7,okane
25,Laptop,Electronics,256.31,1.2,3474,637,0.07,1707,11-07-2023,New York,TRUE,,,,256,58.94064811,,,,,688,Lapt,ptop,8,w York
26,Smartwatch,Electronics,280.92,3.4,3510,202,0.18,400,10-01-2023,Indianapolis,TRUE,,,,281,59.24525297,,,,,699,Smar,atch,12,dianap
27,Laptop,Electronics,190.21,3.5,197,981,0.27,751,1/20/2024,Virginia Beach,TRUE,,,,190,14.03566885,,,,,40,Lapt,ptop,14,rginia
28,Smartphone,Electronics,83.85,3,2511,348,0.43,763,07-02-2023,Baltimore,TRUE,,,,84,50.10987927,,,,,509,Smar,hone,9,ltimor
29,Headphones,Electronics,406.66,2.4,1734,819,0.47,1959,02-05-2024,Providence,TRUE,,,,407,41.64132563,,,,,351,Head,ones,10,oviden
30,Headphones,Electronics,469,1.6,4061,297,0.13,1787,1/20/2024,Buffalo,FALSE,,,,469,63.72597587,,,,,803,Head,ones,7,ffalo
31,Laptop,Electronics,491.26,3.1,4976,1,0.5,253,1/24/2024,San Antonio,FALSE,,,,491,70.54076835,,,,,995,Lapt,ptop,11,n Anto
32,Smartphone,Electronics,451.2,3.5,2056,232,0.17,815,11/17/2023,Bronx,FALSE,,,,451,45.3431362,,,,,411,Smar,hone,5,onx
33,Headphones,Electronics,429.6,2.6,1696,919,0.43,1648,2/29/2024,Buffalo,FALSE,,,,430,41.18252056,,,,,345,Head,ones,7,ffalo
34,Smartwatch,Electronics,294.54,2.5,98,152,0,1919,07-10-2023,Tulsa,FALSE,,,,295,9.899494937,,,,,22,Smar,atch,5,lsa
35,Laptop,Electronics,349.03,3.6,4067,160,0.01,397,09-09-2023,Toledo,TRUE,,,,349,63.77303505,,,,,805,Lapt,ptop,6,ledo
36,Smartwatch,Electronics,375.78,3.6,1218,400,0.15,687,5/21/2024,Seattle,TRUE,,,,376,34.89985673,,,,,255,Smar,atch,7,attle
37,Laptop,Electronics,299.04,4.9,562,437,0.45,26,10/30/2023,Virginia Beach,TRUE,,,,299,23.70653918,,,,,113,Lapt,ptop,14,rginia
38,Smartphone,Electronics,256.29,3.3,959,480,0.1,1852,8/13/2023,Charlotte,TRUE,,,,256,30.96772513,,,,,203,Smar,hone,9,arlott
39,Headphones,Electronics,290.28,4.1,16,171,0.47,476,4/27/2024,New York,TRUE,,,,290,4,,,,,6,Head,ones,8,w York
40,Smartphone,Electronics,442.91,4,1060,279,0.17,301,12/14/2023,Cleveland,TRUE,,,,443,32.55764119,,,,,224,Smar,hone,9,evelan
41,Jacket,Clothing,482.17,4.4,190,252,0.19,1184,9/30/2023,Harrisburg,TRUE,,,,482,13.78404875,,,,,37,Jack,cket,10,rrisbu
42,Jacket,Clothing,93.05,3.2,569,322,0.29,1815,2/19/2024,Portland,TRUE,,,,93,23.85372088,,,,,114,Jack,cket,8,rtland
43,Sweater,Clothing,338.86,2.4,154,489,0.44,784,2/29/2024,Spokane,TRUE,,,,339,12.40967365,,,,,34,Swea,ater,7,okane
44,T-Shirt,Clothing,76.94,3.8,2806,537,0.41,920,5/30/2024,Ogden,FALSE,,,,77,52.97169055,,,,,564,T-Sh,hirt,5,den
45,Sweater,Clothing,260.56,3,4780,19,0.32,511,1/22/2024,San Juan,FALSE,,,,261,69.13754407,,,,,960,Swea,ater,8,n Juan
46,Sweater,Clothing,444.44,1.1,4929,799,0.29,853,4/22/2024,Grand Rapids,FALSE,,,,444,70.20683727,,,,,988,Swea,ater,12,and Ra
47,T-Shirt,Clothing,85.97,4.9,1715,681,0.41,1077,03-03-2024,Wichita,FALSE,,,,86,41.41255848,,,,,348,T-Sh,hirt,7,chita
48,T-Shirt,Clothing,415.66,2.1,4,102,0.04,876,6/28/2023,Las Vegas,FALSE,,,,416,2,,,,,2,T-Sh,hirt,9,s Vega
49,Jacket,Clothing,352.76,1.6,4364,369,0.26,1693,1/17/2024,St. Louis,FALSE,,,,353,66.06057826,,,,,865,Jack,cket,9,. Loui
50,T-Shirt,Clothing,205.42,2.7,1369,740,0.09,1853,09-07-2023,Memphis,FALSE,,,,205,37,,,,,292,T-Sh,hirt,7,mphis
51,Jacket,Clothing,351.03,2.6,1081,633,0.08,801,03-08-2024,Albany,FALSE,,,,351,32.87856445,,,,,228,Jack,cket,6,bany
52,Jeans,Clothing,56,1.7,4992,271,0.26,703,04-04-2024,Knoxville,FALSE,,,,56,70.65408693,,,,,999,Jean,eans,9,oxvill
53,Jeans,Clothing,367.72,1.2,4249,655,0.08,1109,12-10-2023,San Francisco,FALSE,,,,368,65.18435395,,,,,839,Jean,eans,13,n Fran
54,T-Shirt,Clothing,66.88,1.2,2141,749,0.49,452,11/21/2023,Louisville,FALSE,,,,67,46.27094121,,,,,424,T-Sh,hirt,10,uisvil
55,Sweater,Clothing,57.94,3,4646,611,0.09,1757,6/21/2023,Buffalo,FALSE,,,,58,68.16157275,,,,,929,Swea,ater,7,ffalo
56,Jacket,Clothing,33.55,4.8,2849,179,0.19,761,1/17/2024,Hartford,TRUE,,,,34,53.37602458,,,,,573,Jack,cket,8,rtford
57,Jeans,Clothing,255.51,3.2,4611,15,0.04,1782,9/28/2023,San Diego,TRUE,,,,256,67.90434449,,,,,921,Jean,eans,9,n Dieg
58,T-Shirt,Clothing,434.93,3.5,851,663,0.34,1698,05-10-2024,Minneapolis,TRUE,,,,435,29.17190429,,,,,168,T-Sh,hirt,11,nneapo
59,T-Shirt,Clothing,407.49,4.3,3913,42,0.1,396,5/31/2024,Palm Bay,TRUE,,,,407,62.55397669,,,,,774,T-Sh,hirt,8,lm Bay
60,Jacket,Clothing,194.86,1.2,753,34,0.17,89,9/22/2023,San Jose,TRUE,,,,195,27.44084547,,,,,156,Jack,cket,8,n Jose
61,T-Shirt,Clothing,423.99,1.1,417,114,0.14,1219,08-03-2023,Toledo,TRUE,,,,424,20.42057786,,,,,86,T-Sh,hirt,6,ledo
62,T-Shirt,Clothing,180.68,4.7,728,276,0.48,675,6/21/2023,Dallas,TRUE,,,,181,26.98147513,,,,,154,T-Sh,hirt,6,llas
63,T-Shirt,Clothing,288.57,3.3,1122,547,0.19,95,01-12-2024,Boise,TRUE,,,,289,33.49626845,,,,,233,T-Sh,hirt,5,ise
64,Jacket,Clothing,466.07,4.4,3440,694,0.38,216,6/23/2023,Albuquerque,TRUE,,,,466,58.65151319,,,,,682,Jack,cket,11,buquer
65,T-Shirt,Clothing,195.09,3.1,595,879,0.19,396,12-08-2023,Louisville,TRUE,,,,195,24.39262184,,,,,121,T-Sh,hirt,10,uisvil
66,Jacket,Clothing,200.71,1,4171,264,0.16,717,11-02-2023,San Jose,TRUE,,,,201,64.58327957,,,,,826,Jack,cket,8,n Jose
67,Sweater,Clothing,246.44,3,143,884,0.05,395,5/18/2024,Kansas City,TRUE,,,,246,11.95826074,,,,,30,Swea,ater,11,nsas C
68,Sweater,Clothing,339.53,4,3222,143,0.39,108,12/14/2023,San Francisco,FALSE,,,,340,56.76266379,,,,,641,Swea,ater,13,n Fran
69,Jeans,Clothing,487.38,5,4729,132,0.37,732,10/21/2023,Los Angeles,FALSE,,,,487,68.76772499,,,,,948,Jean,eans,11,s Ange
70,Jacket,Clothing,67.36,1.6,953,491,0.43,1253,06-05-2024,Staten Island,FALSE,,,,67,30.87069808,,,,,198,Jack,cket,13,aten I
71,Jeans,Clothing,353.47,1.3,2993,794,0.35,1540,5/14/2024,Chicago,FALSE,,,,353,54.70831747,,,,,593,Jean,eans,7,icago
72,T-Shirt,Clothing,124.28,3.3,1388,832,0.44,1680,7/21/2023,Atlanta,FALSE,,,,124,37.25587202,,,,,295,T-Sh,hirt,7,lanta
73,T-Shirt,Clothing,300.03,2.4,3486,786,0.39,1205,12/28/2023,Louisville,FALSE,,,,300,59.04235768,,,,,693,T-Sh,hirt,10,uisvil
74,Jacket,Clothing,131.87,2.3,3522,172,0.01,1243,02-07-2024,Omaha,FALSE,,,,132,59.3464405,,,,,702,Jack,cket,5,aha
75,Jeans,Clothing,373.08,4.1,894,360,0.37,386,6/30/2023,Salt Lake City,FALSE,,,,373,29.89983278,,,,,182,Jean,eans,14,lt Lak
76,Jeans,Clothing,206.11,2.9,823,928,0.11,133,4/15/2024,New Orleans,FALSE,,,,206,28.68797658,,,,,165,Jean,eans,11,w Orle
77,Sweater,Clothing,489.17,3.2,4910,148,0.02,1236,11/22/2023,Denver,FALSE,,,,489,70.07139217,,,,,984,Swea,ater,6,nver
78,Sweater,Clothing,46.16,3.2,3512,401,0.08,1328,5/29/2024,Pittsburgh,FALSE,,,,46,59.26212956,,,,,701,Swea,ater,10,ttsbur
79,Jacket,Clothing,232.73,3.5,3330,655,0.37,970,5/31/2024,Palm Bay,FALSE,,,,233,57.70615219,,,,,656,Jack,cket,8,lm Bay
80,Jeans,Clothing,475.7,4.6,3019,407,0.31,1031,02-11-2024,Providence,TRUE,,,,476,54.94542747,,,,,595,Jean,eans,10,oviden
81,Coffee Maker,Home & Kitchen,326.96,2.6,539,731,0.18,739,12-03-2023,Des Moines,TRUE,,,,327,23.21637353,,,,,108,Coff,aker,10,s Moin
82,Microwave,Home & Kitchen,352.1,3.1,2508,731,0.14,908,4/27/2024,Spokane,TRUE,,,,352,50.0799361,,,,,508,Micr,wave,7,okane
83,Microwave,Home & Kitchen,413.04,4.8,255,708,0.31,449,06-02-2024,Bronx,TRUE,,,,413,15.96871942,,,,,55,Micr,wave,5,onx
84,Coffee Maker,Home & Kitchen,439.56,3.2,1015,800,0.39,145,11-01-2023,Mesa,TRUE,,,,440,31.85906464,,,,,219,Coff,aker,4,sa
85,Microwave,Home & Kitchen,83.7,3.4,4158,216,0.48,794,12/18/2023,Akron,TRUE,,,,84,64.48255578,,,,,824,Micr,wave,5,ron
86,Blender,Home & Kitchen,41.12,1.1,510,384,0.01,822,06-06-2024,Grand Rapids,TRUE,,,,41,22.58317958,,,,,101,Blen,nder,12,and Ra
87,Coffee Maker,Home & Kitchen,408.32,5,1460,22,0.38,676,11/23/2023,Madison,TRUE,,,,408,38.20994635,,,,,309,Coff,aker,7,dison
88,Toaster,Home & Kitchen,195.15,2,2048,50,0.14,1795,8/29/2023,Fort Worth,TRUE,,,,195,45.254834,,,,,408,Toas,ster,10,rt Wor
89,Toaster,Home & Kitchen,185.5,1.5,249,673,0.24,770,08-11-2023,Grand Rapids,TRUE,,,,186,15.77973384,,,,,52,Toas,ster,12,and Ra
90,Coffee Maker,Home & Kitchen,410.03,4.9,3037,733,0.4,400,2/21/2024,Tulsa,FALSE,,,,410,55.10898293,,,,,598,Coff,aker,5,lsa
91,Microwave,Home & Kitchen,24.1,4,3981,577,0.4,102,12-03-2023,Omaha,FALSE,,,,24,63.09516622,,,,,785,Micr,wave,5,aha
92,Coffee Maker,Home & Kitchen,490.43,3.4,1358,858,0.05,1331,10-07-2023,San Francisco,FALSE,,,,490,36.85105155,,,,,291,Coff,aker,13,n Fran
93,Toaster,Home & Kitchen,230.95,4.6,4637,758,0.26,80,1/31/2024,Portland,FALSE,,,,231,68.09552114,,,,,927,Toas,ster,8,rtland
94,Blender,Home & Kitchen,82.07,4.7,2832,507,0.03,68,05-09-2024,El Paso,FALSE,,,,82,53.21653878,,,,,571,Blen,nder,7, Paso
95,Toaster,Home & Kitchen,251.38,2.3,3818,42,0.12,1906,2/22/2024,Houston,FALSE,,,,251,61.78996682,,,,,759,Toas,ster,7,uston
96,Blender,Home & Kitchen,235.46,3.3,3445,911,0.32,359,12-11-2023,Houston,FALSE,,,,235,58.69412236,,,,,683,Blen,nder,7,uston
97,Blender,Home & Kitchen,449.43,2.9,4188,671,0.09,633,4/22/2024,Concord,FALSE,,,,449,64.71475875,,,,,829,Blen,nder,7,ncord
98,Microwave,Home & Kitchen,412.68,2.4,4777,828,0.02,837,06-11-2024,Charlotte,FALSE,,,,413,69.11584478,,,,,959,Micr,wave,9,arlott
99,Blender,Home & Kitchen,235.78,1.8,2593,944,0.25,1836,3/31/2024,Pittsburgh,FALSE,,,,236,50.92150823,,,,,524,Blen,nder,10,ttsbur
100,Toaster,Home & Kitchen,401.71,3.5,2286,55,0.44,830,4/25/2024,Los Angeles,FALSE,,,,402,47.81213235,,,,,454,Toas,ster,11,s Ange
101,Blender,Home & Kitchen,11.27,4.5,2055,624,0.3,1715,11/18/2023,Tucson,FALSE,,,,11,45.33210783,,,,,410,Blen,nder,6,cson
102,Microwave,Home & Kitchen,191.53,2.9,4569,27,0.18,1239,01-10-2024,Washington,TRUE,,,,192,67.59437846,,,,,911,Micr,wave,10,shingt
103,Toaster,Home & Kitchen,82.39,1.5,1646,918,0.26,1774,09-12-2023,San Diego,TRUE,,,,82,40.57092555,,,,,340,Toas,ster,9,n Dieg
104,Toaster,Home & Kitchen,183.53,2.6,4580,27,0.01,1976,9/13/2023,Tulsa,TRUE,,,,184,67.67569726,,,,,916,Toas,ster,5,lsa
105,Microwave,Home & Kitchen,53.71,3.1,4632,144,0.17,24,04-05-2024,Boston,TRUE,,,,54,68.05879811,,,,,926,Micr,wave,6,ston
106,Toaster,Home & Kitchen,396.69,3,2158,227,0.27,33,2/22/2024,Madison,TRUE,,,,397,46.4542786,,,,,431,Toas,ster,7,dison
107,Coffee Maker,Home & Kitchen,297.4,3.3,2472,612,0.18,1305,7/28/2023,Detroit,TRUE,,,,297,49.71921158,,,,,499,Coff,aker,7,troit
108,Toaster,Home & Kitchen,129.73,3,3812,376,0.12,661,09-09-2023,Oklahoma City,TRUE,,,,130,61.74139616,,,,,756,Toas,ster,13,lahoma
109,Toaster,Home & Kitchen,189.02,3,3421,842,0.04,349,03-09-2024,Fort Worth,FALSE,,,,189,58.48931526,,,,,678,Toas,ster,10,rt Wor
110,Coffee Maker,Home & Kitchen,449.42,1.3,242,542,0.21,547,11-02-2023,New York,FALSE,,,,449,15.55634919,,,,,50,Coff,aker,8,w York
111,Toaster,Home & Kitchen,204.95,4.9,3,846,0.41,880,03-10-2024,Baltimore,FALSE,,,,205,1.732050808,,,,,1,Toas,ster,9,ltimor
112,Coffee Maker,Home & Kitchen,364.22,4.3,4289,846,0.27,1049,12/22/2023,Tucson,FALSE,,,,364,65.49045732,,,,,852,Coff,aker,6,cson
113,Coffee Maker,Home & Kitchen,110.49,4.9,1810,723,0.25,112,1/24/2024,Columbia,FALSE,,,,110,42.54409477,,,,,364,Coff,aker,8,lumbia
114,Microwave,Home & Kitchen,356.54,4.1,1573,804,0.25,1534,6/22/2023,Albany,TRUE,,,,357,39.66106403,,,,,328,Micr,wave,6,bany
115,Blender,Home & Kitchen,270.97,1.2,4785,9,0.27,1673,12/23/2023,Allentown,TRUE,,,,271,69.17369442,,,,,963,Blen,nder,9,lentow
116,Toaster,Home & Kitchen,167.95,4.2,320,318,0.34,784,9/21/2023,Grand Rapids,TRUE,,,,168,17.88854382,,,,,63,Toas,ster,12,and Ra
117,Microwave,Home & Kitchen,241.85,3.4,3490,605,0.05,1604,7/30/2023,Phoenix,TRUE,,,,242,59.07622195,,,,,694,Micr,wave,7,oenix
118,Coffee Maker,Home & Kitchen,482.86,1.5,375,458,0.47,587,05-08-2024,Albany,TRUE,,,,483,19.36491673,,,,,78,Coff,aker,6,bany
119,Blender,Home & Kitchen,373.15,3.3,3850,872,0.38,1851,8/31/2023,Madison,TRUE,,,,373,62.04836823,,,,,763,Blen,nder,7,dison
120,Microwave,Home & Kitchen,90.49,4.3,77,409,0.45,600,10/19/2023,Orlando,TRUE,,,,90,8.774964387,,,,,19,Micr,wave,7,lando
121,Biography,Books,202.3,4.3,1318,615,0.19,1714,02-08-2024,Denver,TRUE,,,,202,36.30426972,,,,,281,Biog,aphy,6,nver
122,Biography,Books,274.49,2.8,992,664,0.18,1006,08-08-2023,Sacramento,TRUE,,,,274,31.4960315,,,,,212,Biog,aphy,10,cramen
123,Fantasy Book,Books,122.22,3.2,197,645,0.17,1202,05-01-2024,Port St. Lucie,FALSE,,,,122,14.03566885,,,,,40,Fant,Book,14,rt St.
124,Fantasy Book,Books,91.7,4.5,2035,477,0.45,419,01-07-2024,Pittsburgh,FALSE,,,,92,45.11097427,,,,,398,Fant,Book,10,ttsbur
125,Biography,Books,378.68,3.8,950,288,0.02,597,7/26/2023,Staten Island,FALSE,,,,379,30.82207001,,,,,197,Biog,aphy,13,aten I
126,Biography,Books,252.05,4,2853,908,0.06,227,11-09-2023,Chicago,FALSE,,,,252,53.41348144,,,,,575,Biog,aphy,7,icago
127,Fantasy Book,Books,204.67,4.2,3228,46,0.2,1708,02-03-2024,Charlotte,FALSE,,,,205,56.81549085,,,,,642,Fant,Book,9,arlott
128,Science Book,Books,324.16,3.8,793,810,0.3,1683,06-01-2024,Des Moines,FALSE,,,,324,28.16025568,,,,,161,Scie,Book,10,s Moin
129,Biography,Books,455.14,3.3,4807,22,0.23,301,6/15/2023,San Francisco,FALSE,,,,455,69.33253205,,,,,968,Biog,aphy,13,n Fran
130,Fantasy Book,Books,456.81,1.6,3281,984,0.13,1639,08-01-2023,Fort Worth,FALSE,,,,457,57.28001397,,,,,651,Fant,Book,10,rt Wor
131,Science Book,Books,466.74,3.3,2935,804,0.35,1129,03-12-2024,Tulsa,FALSE,,,,467,54.17564028,,,,,584,Scie,Book,5,lsa
132,Science Book,Books,307.29,2.7,3533,295,0.42,778,9/29/2023,Manhattan,FALSE,,,,307,59.43904441,,,,,703,Scie,Book,9,nhatta
133,Biography,Books,125.59,1.7,1205,982,0.46,1854,4/18/2024,St. Louis,FALSE,,,,126,34.71310992,,,,,251,Biog,aphy,9,. Loui
134,Science Book,Books,299.72,2.6,1332,136,0.1,312,2/16/2024,Portland,FALSE,,,,300,36.49657518,,,,,284,Scie,Book,8,rtland
135,Biography,Books,173.41,2.6,536,601,0.46,385,11/15/2023,Port St. Lucie,TRUE,,,,173,23.15167381,,,,,106,Biog,aphy,14,rt St.
136,Science Book,Books,371.38,2.8,954,875,0.46,1205,01-12-2024,Fresno,TRUE,,,,371,30.88689042,,,,,199,Scie,Book,6,esno
137,Novel,Books,254.2,2.7,4380,62,0.14,665,01-08-2024,Denton,TRUE,,,,254,66.18156843,,,,,868,Nove,ovel,6,nton
138,Biography,Books,335.13,1.7,3432,688,0.28,341,04-10-2024,Boise,TRUE,,,,335,58.58327406,,,,,680,Biog,aphy,5,ise
139,Novel,Books,100.39,2.2,1759,140,0.2,434,11/14/2023,Chicago,TRUE,,,,100,41.94043395,,,,,357,Nove,ovel,7,icago
140,Biography,Books,110.52,1.8,4524,476,0.24,1447,5/24/2024,Charlotte,TRUE,,,,111,67.26068688,,,,,897,Biog,aphy,9,arlott
141,Biography,Books,154.08,3.9,3057,193,0.27,1136,2/19/2024,Bronx,TRUE,,,,154,55.29014379,,,,,604,Biog,aphy,5,onx
142,Biography,Books,284.22,1.6,3335,924,0.04,1666,8/29/2023,Denver,TRUE,,,,284,57.74945887,,,,,658,Biog,aphy,6,nver
143,Biography,Books,142.66,3.6,3451,992,0.01,1499,8/29/2023,Los Angeles,TRUE,,,,143,58.74521257,,,,,684,Biog,aphy,11,s Ange
144,Biography,Books,434.83,2.6,4408,758,0.13,442,10-01-2023,Detroit,TRUE,,,,435,66.39277069,,,,,876,Biog,aphy,7,troit
145,Novel,Books,301.57,2.4,3300,578,0.44,1627,9/22/2023,Louisville,TRUE,,,,302,57.44562647,,,,,652,Nove,ovel,10,uisvil
146,Biography,Books,404.6,5,1311,119,0.4,1935,12/30/2023,New York,TRUE,,,,405,36.20773398,,,,,279,Biog,aphy,8,w York
147,Biography,Books,110.44,2.2,943,977,0.01,774,01-03-2024,Port St. Lucie,FALSE,,,,110,30.70830507,,,,,196,Biog,aphy,14,rt St.
148,Science Book,Books,425.58,1.5,914,547,0.32,81,06-10-2024,Little Rock,FALSE,,,,426,30.23243292,,,,,185,Scie,Book,11,ttle R
149,Novel,Books,410.55,2.4,4841,385,0.18,1142,5/23/2024,Little Rock,FALSE,,,,411,69.57729515,,,,,972,Nove,ovel,11,ttle R
150,Novel,Books,179.14,4.1,3577,853,0.39,592,11/23/2023,Jacksonville,FALSE,,,,179,59.80802622,,,,,710,Nove,ovel,12,cksonv
151,Biography,Books,248.84,4.6,4223,735,0.21,1138,11/16/2023,Wichita,FALSE,,,,249,64.98461356,,,,,832,Biog,aphy,7,chita
152,Biography,Books,373.43,3.8,1304,358,0.11,1301,10/21/2023,Orlando,FALSE,,,,373,36.11094017,,,,,278,Biog,aphy,7,lando
153,Biography,Books,492.36,3.1,3180,609,0.14,74,7/22/2023,Los Angeles,FALSE,,,,492,56.39148872,,,,,630,Biog,aphy,11,s Ange
154,Biography,Books,269.53,4.3,40,933,0.03,1700,01-11-2024,Port St. Lucie,FALSE,,,,270,6.32455532,,,,,12,Biog,aphy,14,rt St.
155,Biography,Books,416.57,1.8,341,980,0.13,1310,1/30/2024,Salt Lake City,FALSE,,,,417,18.46618531,,,,,67,Biog,aphy,14,lt Lak
156,Science Book,Books,302.73,3.4,454,905,0.46,921,12-05-2023,St. Louis,FALSE,,,,303,21.30727575,,,,,92,Scie,Book,9,. Loui
157,Biography,Books,216.8,2.4,1386,704,0.04,1315,09-04-2023,Baltimore,FALSE,,,,217,37.22902094,,,,,294,Biog,aphy,9,ltimor
158,Novel,Books,200.75,2.2,1136,186,0.15,1250,08-07-2023,Tucson,FALSE,,,,201,33.70459909,,,,,241,Nove,ovel,6,cson
159,Biography,Books,204.36,4.8,4501,68,0.24,1785,05-07-2024,Baltimore,FALSE,,,,204,67.08949247,,,,,891,Biog,aphy,9,ltimor
160,Science Book,Books,138.51,3.4,3920,957,0.48,481,11/24/2023,Provo,FALSE,,,,139,62.60990337,,,,,776,Scie,Book,5,ovo
161,Board Game,Toys & Games,242.38,2.4,2343,16,0.21,60,2/29/2024,Queens,FALSE,,,,242,48.40454524,,,,,468,Boar,Game,6,eens
162,Board Game,Toys & Games,235.24,1.3,3569,228,0,1458,03-02-2024,Milwaukee,FALSE,,,,235,59.74110812,,,,,708,Boar,Game,9,lwauke
163,Board Game,Toys & Games,60.52,2.3,4090,816,0.07,329,4/16/2024,Denver,FALSE,,,,61,63.95310782,,,,,811,Boar,Game,6,nver
164,Puzzle,Toys & Games,265.44,1.3,3663,215,0.38,660,3/23/2024,Cape Coral,FALSE,,,,265,60.52272301,,,,,725,Puzz,zzle,10,pe Cor
165,Puzzle,Toys & Games,364.81,3.5,3726,570,0.49,1900,5/17/2024,Tampa,FALSE,,,,365,61.04096985,,,,,738,Puzz,zzle,5,mpa
166,Puzzle,Toys & Games,31.64,3.4,400,918,0.28,1109,10-06-2023,Dayton,FALSE,,,,32,20,,,,,83,Puzz,zzle,6,yton
167,Puzzle,Toys & Games,26.63,3.8,4232,882,0.46,1521,08-02-2023,Atlanta,FALSE,,,,27,65.05382387,,,,,834,Puzz,zzle,7,lanta
168,Puzzle,Toys & Games,399.72,4,2419,934,0.23,1466,03-01-2024,Mission Viejo,TRUE,,,,400,49.18333051,,,,,488,Puzz,zzle,13,ssion 
169,Action Figure,Toys & Games,328.58,2.5,2667,187,0.24,130,8/24/2023,Harrisburg,TRUE,,,,329,51.64300533,,,,,538,Acti,gure,10,rrisbu
170,Puzzle,Toys & Games,176.54,3.9,4459,38,0.16,496,06-08-2024,Harrisburg,TRUE,,,,177,66.7757441,,,,,884,Puzz,zzle,10,rrisbu
171,Action Figure,Toys & Games,334.21,4,4111,492,0.31,893,08-06-2023,Riverside,TRUE,,,,334,64.11708041,,,,,812,Acti,gure,9,versid
